country,cases,deaths,recovered,active,population,fetchedAt,death_rate,recovery_rate
British Virgin Islands,7392,64,0,7328,30596,2025-06-24 06:39:10.767,0.8658008658008658,0.0
Bolivia,1212131,22407,1177145,12579,11992656,2025-06-24 06:39:10.767,1.8485625728572244,97.11367830704766
Brunei,343719,225,243601,99893,445431,2025-06-24 06:39:10.767,0.06546044879683695,70.87213683270346
Belize,71409,688,0,70721,412190,2025-06-24 06:39:10.767,0.9634639891330226,0.0
Benin,28036,163,27847,26,12784726,2025-06-24 06:39:10.767,0.5813953488372093,99.3258667427593
Barbados,110578,648,108647,1283,288023,2025-06-24 06:39:10.767,0.5860116840601204,98.25372135506159
Bulgaria,1339851,38748,1292944,8159,6844597,2025-06-24 06:39:10.767,2.891963360104967,96.49908833146372
Austria,6081287,22542,6054934,3811,9066710,2025-06-24 06:39:10.767,0.3706781146819744,99.56665422960633
Azerbaijan,835234,10400,824089,745,10300205,2025-06-24 06:39:10.767,1.2451600389830875,98.66564340053206
Armenia,451831,8777,435162,7892,2971966,2025-06-24 06:39:10.767,1.9425404631377663,96.31078876836693
Bahamas,38084,844,36366,874,400516,2025-06-24 06:39:10.767,2.2161537653607817,95.4889192311732
Angola,107327,1937,103419,1971,35027343,2025-06-24 06:39:10.767,1.804764877430656,96.358791357254
Anguilla,3904,12,0,3892,15230,2025-06-24 06:39:10.767,0.3073770491803279,0.0
Somalia,27334,1361,13182,12791,16841795,2025-06-24 06:39:10.767,4.979146850076828,48.225653032852854
Albania,334863,3605,330233,1025,2866374,2025-06-24 06:39:10.767,1.0765596676849936,98.61734500377767
South Africa,4076463,102595,3912506,61362,60756135,2025-06-24 06:39:10.767,2.5167651466479644,95.97795932405127
Slovakia,1877605,21224,1856381,0,5460193,2025-06-24 06:39:10.767,1.1303761973365005,98.8696238026635
South Sudan,18819,147,18115,557,11618511,2025-06-24 06:39:10.767,0.7811254583134066,96.25909984590042
Seychelles,51220,172,51048,0,99426,2025-06-24 06:39:10.767,0.3358063256540414,99.66419367434595
Sierra Leone,7779,126,0,7653,8306436,2025-06-24 06:39:10.767,1.619745468569225,0.0
Saudi Arabia,841469,9646,0,831823,35844909,2025-06-24 06:39:10.767,1.1463286229201552,0.0
Spain,13914811,121760,13762417,30634,46719142,2025-06-24 06:39:10.767,0.8750388345195634,98.90480725897032
Saint Pierre Miquelon,3452,2,2449,1001,5759,2025-06-24 06:39:10.767,0.057937427578215524,70.94438006952491
Saint Vincent and the Grenadines,9674,124,9493,57,111551,2025-06-24 06:39:10.767,1.281786231135001,98.1290055819723
Saint Kitts and Nevis,6607,48,6559,0,53871,2025-06-24 06:39:10.767,0.7265021946420462,99.27349780535796
Samoa,17006,31,1605,15370,202239,2025-06-24 06:39:10.767,0.18228860402210986,9.43784546630601
Rwanda,133518,1468,132039,11,13600464,2025-06-24 06:39:10.767,1.0994772240446982,98.89228418640184
Réunion,494595,921,0,493674,908061,2025-06-24 06:39:10.767,0.18621296212052285,0.0
Qatar,514524,690,513687,147,2979915,2025-06-24 06:39:10.767,0.1341045315670406,99.83732537257737
Sri Lanka,672754,16897,655852,5,21575842,2025-06-24 06:39:10.767,2.5116164303742528,97.48764035591019
Papua New Guinea,46864,670,46168,26,9292169,2025-06-24 06:39:10.767,1.4296688289518606,98.51485148514851
Paraguay,837602,20155,0,817447,7305843,2025-06-24 06:39:10.767,2.4062741015422597,0.0
Palau,6290,10,6276,4,18233,2025-06-24 06:39:10.767,0.1589825119236884,99.77742448330683
Peru,4572667,222161,4350506,0,33684208,2025-06-24 06:39:10.767,4.858455688988505,95.1415443110115
Niue,1059,0,1056,3,1622,2025-06-24 06:39:10.767,0.0,99.71671388101983
Norway,1509732,6638,1503094,0,5511370,2025-06-24 06:39:10.767,0.43968068504873714,99.56031931495126
Nicaragua,18491,225,4225,14041,6779100,2025-06-24 06:39:10.767,1.2168081769509491,22.848953544967824
Philippines,4140383,66864,4067381,6138,112508994,2025-06-24 06:39:10.767,1.6149230638808052,98.23682978120624
Nauru,5393,1,5347,45,10903,2025-06-24 06:39:10.767,0.018542555164101613,99.14704246245132
Nepal,1003450,12031,991322,97,30225582,2025-06-24 06:39:10.767,1.1989635756639594,98.79136977427873
Myanmar,641873,19495,620159,2219,55227143,2025-06-24 06:39:10.767,3.0372051792176955,96.61708780397367
Netherlands,8635786,22992,8612599,195,17211447,2025-06-24 06:39:10.767,0.2662409652115048,99.73150098902404
Montenegro,296542,2846,291794,1902,627950,2025-06-24 06:39:10.767,0.9597291446068348,98.39887773064187
Montserrat,1403,8,1376,19,4965,2025-06-24 06:39:10.767,0.5702066999287242,98.07555238774056
Moldova,635145,12218,0,622927,4013171,2025-06-24 06:39:10.767,1.9236552283336876,0.0
St. Barth,5507,6,0,5501,9945,2025-06-24 06:39:10.767,0.10895224260032686,0.0
Marshall Islands,16138,17,16121,0,60057,2025-06-24 06:39:10.767,0.10534143016482836,99.89465856983517
Martinique,230354,1102,0,229252,374087,2025-06-24 06:39:10.767,0.4783941238268057,0.0
Maldives,186694,316,163687,22691,540985,2025-06-24 06:39:10.767,0.16926092964958703,87.67662592263275
Mauritania,63848,997,62471,380,4901981,2025-06-24 06:39:10.767,1.561521112642526,97.84331537401329
Macedonia,350567,9976,337068,3523,2081304,2025-06-24 06:39:10.767,2.84567571961993,96.14938086014942
Madagascar,68486,1426,66862,198,29178077,2025-06-24 06:39:10.767,2.082177379318401,97.62871243757849
Luxembourg,391232,1232,0,390000,642371,2025-06-24 06:39:10.767,0.31490266644855225,0.0
Mauritius,43025,1051,41278,696,1274727,2025-06-24 06:39:10.767,2.442765833817548,95.93957001743173
Lesotho,36138,723,25980,9435,2175699,2025-06-24 06:39:10.767,2.0006641208699985,71.89108417732028
Liberia,8090,295,7783,12,5305117,2025-06-24 06:39:10.767,3.646477132262052,96.20519159456119
Lao People's Democratic Republic,218970,758,0,218212,7481023,2025-06-24 06:39:10.767,0.3461661414805681,0.0
Libyan Arab Jamahiriya,507274,6437,500835,2,7040745,2025-06-24 06:39:10.767,1.268939468610652,98.73066626714557
Kenya,344130,5689,337309,1132,56215221,2025-06-24 06:39:10.767,1.6531543312120418,98.01790021212913
Kiribati,5085,24,2703,2358,123419,2025-06-24 06:39:10.767,0.471976401179941,53.15634218289086
Japan,33803572,74694,0,33728878,125584838,2025-06-24 06:39:10.767,0.2209648140143296,0.0
Mayotte,42027,188,0,41839,286259,2025-06-24 06:39:10.767,0.44733147738358675,0.0
Iraq,2465545,25375,2439497,673,42164965,2025-06-24 06:39:10.767,1.029184216876999,98.9435195869473
Ireland,1734582,9491,1724921,170,5020199,2025-06-24 06:39:10.767,0.5471635241228145,99.44303584379406
India,45035393,533570,0,44501823,1406631776,2025-06-24 06:39:10.767,1.1847792690517878,0.0
Isle of Man,38008,116,0,37892,85732,2025-06-24 06:39:10.767,0.3051989054935803,0.0
Honduras,474590,11165,0,463425,10221247,2025-06-24 06:39:10.767,2.3525569438884086,0.0
Hong Kong,2937609,14924,2916005,6680,7604299,2025-06-24 06:39:10.767,0.5080322125919413,99.2645719699252
Guyana,74137,1300,72013,824,794045,2025-06-24 06:39:10.767,1.7535103929212135,97.13503378879642
Israel,4841772,12707,4798473,30592,9326000,2025-06-24 06:39:10.767,0.262445236991746,99.10571997194415
Grenada,19693,238,19358,97,113475,2025-06-24 06:39:10.767,1.2085512618696999,98.29888792972122
Guadeloupe,203235,1021,0,202214,399794,2025-06-24 06:39:10.767,0.5023740989494919,0.0
Gibraltar,20550,113,0,20437,33704,2025-06-24 06:39:10.767,0.5498783454987834,0.0
Guatemala,1291293,20289,1269891,1113,18584039,2025-06-24 06:39:10.767,1.571215827856265,98.34259149550103
Gambia,12626,372,12189,65,2558482,2025-06-24 06:39:10.767,2.946301283066688,96.53888800887059
Georgia,1861665,17132,0,1844533,3968738,2025-06-24 06:39:10.767,0.9202514953012492,0.0
French Guiana,98041,420,11254,86367,314169,2025-06-24 06:39:10.767,0.42839220326190064,11.478871084546261
Sudan,63993,5046,58947,0,45992020,2025-06-24 06:39:10.767,7.885237447845858,92.11476255215413
Eritrea,10189,103,10086,0,3662244,2025-06-24 06:39:10.767,1.0108941014819903,98.98910589851802
Estonia,628070,3001,0,625069,1321910,2025-06-24 06:39:10.767,0.4778129826293247,0.0
Egypt,516023,24613,442182,49228,106156692,2025-06-24 06:39:10.767,4.769748635235251,85.69036651467086
